"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O43353","P10415","RIPK2","BCL2","pred"
"O43353","Q8NI38","RIPK2","NFKBID","pred"
"O43353","O75688","RIPK2","PPM1B","pred"
"O43353","P22061","RIPK2","PCMT1","exp"
"O43353","P16444","RIPK2","DPEP1","pred"
"O43353","O60543","RIPK2","CIDEA","pred"
"O43353","Q04721","RIPK2","NOTCH2","pred"
"O43353","Q15326","RIPK2","ZMYND11","pred"
"O43353","P05067","RIPK2","APP","pred"
"O43353","P10809","RIPK2","HSPD1","pred"
"O43353","Q71U36","RIPK2","TUBA1A","pred"
"O43353","Q9BY67","RIPK2","CADM1","pred"
"O43353","Q15052","RIPK2","ARHGEF6","pred"
"O43353","Q9P0W0","RIPK2","IFNK","pred"
"O43353","P55211","RIPK2","CASP9","pred"
"O43353","Q5ZPR3","RIPK2","CD276","pred"
"O43353","Q9NZL4","RIPK2","HSPBP1","pred"
"O43353","Q9HAT8","RIPK2","PELI2","pred"
"O43353","Q8N8M0","RIPK2","NAT16","exp"
"O43353","Q13705","RIPK2","ACVR2B","pred"
"O43353","O95727","RIPK2","CRTAM","pred"
"O43353","P42574","RIPK2","CASP3","pred"
"O43353","Q9H0R8","RIPK2","GABARAPL1","pred"
"O43353","P31151","RIPK2","S100A7","pred"
"O43353","Q16653","RIPK2","MOG","pred"
"O43353","P24385","RIPK2","CCND1","pred"
"O43353","Q9UQC1","RIPK2","HSP70-1","exp"
"O43353","P04179","RIPK2","SOD2","exp"
"O43353","Q9H2K8","RIPK2","TAOK3","pred"
"O43353","P63104","RIPK2","YWHAZ","pred"
"O43353","Q8N5C8","RIPK2","TAB3","pred"
"O43353","P06729","RIPK2","CD2","pred"
"O43353","P63173","RIPK2","RPL38","exp"
"O43353","Q15306","RIPK2","IRF4","exp;ortho"
"O43353","Q9Y5U5","RIPK2","TNFRSF18","pred"
"O43353","Q9Y385","RIPK2","UBE2J1","pred"
"O43353","P19838","RIPK2","NFKB1","pred"
"O43353","P01019","RIPK2","AGT","pred"
"O43353","P57730","RIPK2","CARD18","pred"
"O43353","P62993","RIPK2","GRB2","pred"
"O43353","P00533","RIPK2","EGFR","pred"
"O43353","P80511","RIPK2","S100A12","pred"
"O43353","P43405","RIPK2","SYK","pred"
"O43353","Q92985","RIPK2","IRF7","pred"
"O43353","Q9Y2Z0","RIPK2","SUGT1","pred"
"O43353","P12931","RIPK2","SRC","pred"
"O43353","P61981","RIPK2","YWHAG","pred"
"O43353","Q9UQM7","RIPK2","CAMK2A","pred"
"O43353","Q71UM5","RIPK2","RPS27L","pred"
